MDEC-23,ATSC8i,AATSC3v,SpDiam_Dt,ATS1m,ATSC5s,SHaaCH,SwHBa,ATSC5v,ATSC5m,SpMAD_Dt,LipoaffinityIndex
40.393,-8.2996,-0.6241,870.7632,7377.7495,3.6296,9.3318,44.0031,-98.1564,150.8196,35.0629,13.301
32.6125,-14.5796,-6.0231,749.1166,8264.3868,-13.9683,4.6415,14.4977,-724.5128,-243.6917,27.2335,6.2309
26.0063,-12.0125,-1.7847,537.3743,6210.9835,-36.877,6.5406,21.107,-262.3852,-480.4053,22.8953,11.2898
33.1806,-10.6761,-0.3073,568.0875,5772.817,-23.7244,7.9297,28.4942,-314.5889,-436.9548,25.3852,9.3426
34.2818,-47.7673,-0.3844,548.205,6979.9679,4.5244,3.4487,21.4057,-224.7633,221.1707,23.1341,10.5992
44.591,-20.2346,-4.6238,899.5386,8520.6653,-29.7899,8.5963,37.7576,282.7031,-588.2013,28.5188,10.8596
36.9645,1.4546,-1.7465,832.1763,8910.4463,-36.9195,8.3093,42.1516,113.8567,-636.0768,28.6274,14.3308
28.782,15.8916,-4.5938,584.6259,8150.966,-35.6089,6.7584,26.193,187.8214,404.8516,23.4532,9.6031
43.1223,9.7451,-1.8426,666.2378,7680.1628,20.129,6.2709,34.1605,-1319.345,-542.1313,24.9035,13.4251
31.0455,22.3587,-3.1819,733.3179,6911.0851,2.5488,5.5507,22.2816,-290.8813,-164.2051,28.5396,11.4213
32.9174,-3.5377,1.4467,493.7533,7054.6859,28.1874,6.205,21.8269,-111.3911,128.4153,21.6665,8.0243
13.6305,-7.8586,-4.3893,215.1775,3254.0528,4.6902,4.3412,17.7158,152.6812,302.9715,17.042,5.3725
48.0809,3.8915,-1.9971,847.8986,7026.6752,-3.5679,7.4368,38.6278,83.165,21.4831,34.2056,10.563
60.0166,-5.5581,-0.1977,966.0988,8177.8636,54.2027,7.6902,37.5682,861.1866,785.8889,33.9685,11.3064
43.3655,-14.3968,-0.9476,828.4222,7955.1943,-22.5184,9.9273,44.3647,61.8608,-327.031,28.3875,14.1074
