minHBint4,AATS8m,minssNH,ATSC3e,maxssNH,SHaaCH,nHaaCH,SaaCH,EE_Dt,SwHBa,C2SP2,CrippenLogP,SHother,AATSC5m,maxHBint5,ATSC5m,nHother,nwHBa,khs.aaCH,naaCH
0.0,64.9306,0.0,0.2918,0.0,9.3318,17.0,33.7652,682.1972,44.0031,16.0,8.5692,9.3318,0.9668,0.0,150.8196,17.0,29.0,17.0,17.0
0.0,69.1949,2.529,-1.3865,2.5827,4.6415,8.0,11.7339,531.0535,14.4977,14.0,2.4281,5.7501,-1.4086,0.0,-243.6917,10.0,20.0,8.0,8.0
0.0,69.4466,0.0,-0.4108,0.0,6.5406,11.0,18.0814,377.7718,21.107,12.0,5.0738,6.5406,-3.9377,0.0,-480.4053,11.0,19.0,11.0,11.0
2.8914,65.704,2.6996,-1.7208,2.6996,7.9297,14.0,24.9473,406.1626,28.4942,18.0,7.0191,7.9297,-3.9014,0.0,-436.9548,14.0,25.0,14.0,14.0
0.8723,49.3828,3.1259,-0.273,3.1259,3.4487,7.0,13.5599,427.9818,21.4057,11.0,5.6064,3.957,1.0582,1.2326,221.1707,8.0,16.0,7.0,7.0
0.0,87.9492,0.0,-0.3395,0.0,8.5963,16.0,29.4742,627.4138,37.7576,19.0,7.024,8.5963,-3.2497,0.0,-588.2013,16.0,30.0,16.0,16.0
0.0,60.9057,0.0,-0.5048,0.0,8.3093,17.0,33.5909,601.1752,42.1516,20.0,6.7739,8.3093,-3.3302,0.0,-636.0768,17.0,27.0,17.0,17.0
6.1917,100.2424,2.603,-2.8927,2.9874,6.7584,12.0,20.1712,433.884,26.193,18.0,3.97,7.3215,3.0213,0.0,404.8516,13.0,23.0,12.0,12.0
0.0,60.9752,0.0,-0.215,0.0,6.2709,13.0,25.9134,498.0705,34.1605,16.0,6.8329,6.2709,-2.3674,0.0,-542.1313,13.0,24.0,13.0,13.0
0.0,67.2022,2.7628,-0.4439,2.7628,5.5507,10.0,17.5625,527.6726,22.2816,14.0,4.912,5.5507,-0.9774,7.5035,-164.2051,10.0,22.0,10.0,10.0
4.5388,91.831,0.0,-0.7892,0.0,6.205,11.0,18.8209,379.1631,21.8269,18.0,6.341,6.205,1.0356,0.0,128.4153,11.0,23.0,11.0,11.0
7.1066,59.88,2.6348,-0.2779,2.6348,4.3412,8.0,14.8619,153.3783,17.7158,7.0,2.2968,4.3412,6.3119,0.0,302.9715,8.0,13.0,8.0,8.0
0.0,71.2147,0.0,-0.5872,0.0,7.4368,15.0,29.0607,631.0458,38.6278,21.0,6.0292,8.3714,0.1279,0.0,21.4831,17.0,27.0,15.0,15.0
0.6538,62.3043,3.0997,-0.0377,3.0997,7.6902,15.0,28.1821,709.7827,37.5682,21.0,6.4258,8.7392,3.1817,5.0286,785.8889,17.0,29.0,15.0,15.0
0.0,62.506,0.0,-0.5171,0.0,9.9273,19.0,36.9947,610.3316,44.3647,22.0,8.3525,9.9273,-1.8795,0.0,-327.031,19.0,30.0,19.0,19.0
0.0,86.9072,0.0,0.1774,0.0,10.3654,18.0,34.2774,480.047,40.8356,18.0,8.3436,10.3654,-2.4451,0.0,-264.0724,18.0,30.0,18.0,18.0
0.0,51.2855,0.0,-0.5734,0.0,5.3259,12.0,25.5427,518.564,37.3275,13.0,5.9453,5.3259,-6.712,0.0,-1798.8207,12.0,24.0,12.0,12.0
0.0,90.9549,3.0398,-0.0987,3.0398,7.3518,15.0,30.3759,580.6057,41.4898,16.0,7.3711,7.3518,-0.6147,5.4137,-76.2275,15.0,29.0,15.0,15.0
0.0,70.7438,2.8674,1.1874,2.8674,9.0467,16.0,27.0706,510.3444,26.0372,17.0,5.03,9.0467,0.5437,0.0,67.424,16.0,29.0,16.0,16.0
0.0,87.1723,0.0,-0.7618,0.0,9.2747,15.0,24.6636,602.9631,25.6861,18.0,5.2755,9.2747,-7.1306,0.0,-812.8917,15.0,30.0,15.0,15.0
0.0,70.416,2.8884,-0.7454,2.8884,6.1855,11.0,19.2632,502.3382,24.0148,15.0,4.6344,6.1855,1.2968,0.0,198.4055,11.0,22.0,11.0,11.0
0.0,79.4621,0.0,0.3987,0.0,8.3931,17.0,33.9598,709.7827,46.8526,21.0,7.7865,8.9011,3.1921,0.0,590.5407,18.0,29.0,17.0,17.0
0.0,56.8865,0.0,-0.8636,0.0,8.5003,17.0,32.8756,504.501,40.2089,22.0,6.9733,8.5003,-2.9096,0.0,-593.5612,17.0,27.0,17.0,17.0
0.0,65.1365,0.0,0.6545,0.0,9.8412,19.0,38.9789,709.7827,50.0579,20.0,7.436,9.8412,3.1107,0.0,482.1518,19.0,31.0,19.0,19.0
0.0,86.6971,2.6357,-2.5082,2.6827,4.9905,8.0,12.2927,452.9079,17.7619,13.0,4.6318,6.9959,-2.0805,6.4403,-224.6956,11.0,22.0,8.0,8.0
0.0,56.8892,0.0,1.0384,0.0,5.6808,12.0,23.8656,646.9232,32.959,15.0,5.1284,6.1247,2.7383,0.0,583.2665,13.0,24.0,12.0,12.0
